@relation iris-20an-nn

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute class {c1,c2,c3}

@data
0.194444,0.583333,0.084746,0.041667,c1
0.394095,0.080622,0.067797,0,c1
0.222222,0.708333,0.509251,0.125,c1
0.138889,0.145695,0.101695,0.731239,c1
0.333333,0.916667,0.067797,0.041667,c1
0.222222,0.583333,0.084746,0.041667,c1
0.138889,0.416667,0.867484,0.083333,c1
0.465634,0.5,0.067797,0.041667,c1
0.277778,0.708333,0.98738,0.032713,c1
0.193063,0.108158,0.508475,0.5,c2
0.555556,0.541667,0.627119,0.625,c2
0.166667,0.166667,0.389831,0.755798,c2
0.472222,0.31336,0.508475,0.375,c2
0.5,0.025374,0.712609,0.305242,c2
0.5,0.830974,0.627119,0.458333,c2
0.583333,0.375,0.559322,0.127005,c2
0.735535,0.25,0.423729,0.375,c2
0.333333,0.166667,0.457627,0.375,c2
0.666667,0.458333,0.627119,0.583333,c2
0.745921,0.416667,0.43169,0.875,c3
0.833333,0.375,0.055704,0.708333,c3
0.611111,0.5,0.694915,0.791667,c3
0.666667,0.541667,0.79661,0.833333,c3
0.691743,0.5,0.847458,0.708333,c3
0.555556,0.333333,0.694915,0.583333,c3
0.611111,0.416667,0.711864,0.791667,c3
0.527778,0.583333,0.745763,0.951548,c3
0.444444,0.416667,0.694915,0.708333,c3
0.111111,0.5,0.050847,0.041667,c1
0.722222,0.5,0.79661,0.916667,c3
0.222222,0.625,0.067797,0.870329,c1
0.083333,0.914157,0.084746,0.041667,c1
0.027778,0.375,0.067797,0.041667,c1
0.305556,0.583333,0.118644,0.041667,c1
0.083333,0.666667,0,0.029688,c1
0.119026,0.583333,0.101695,0.125,c1
0.727106,0.5,0.101695,0.041667,c1
0.305556,0.583333,0.210509,0.125,c1
0.194444,0.517736,0.067797,0.041667,c1
0.75,0.925964,0.627119,0.541667,c2
0.583333,0.5,0.59322,0.583333,c2
0.361111,0.452618,0.59322,0.583333,c2
0.555556,0.208333,0.661017,0.525125,c2
0.82934,0.416667,0.576271,0.541667,c2
0.555556,0.125,0.576271,0.5,c2
